year,hs_sf,hs_mf,ws_ind,ws_com,ws_ofc
2012,703101,420147,339177,559619,248360
2013,706570,426915,344345,575897,251996
2014,710040,433684,349513,592176,255633
2015,713509,440452,354681,608454,259269
2016,717146,447813,358148,615538,262120
2017,720783,455174,361614,622622,264970
2018,724419,462536,365081,629705,267821
2019,728056,469897,368547,636789,270671
2020,731693,477258,372014,643873,273522
2021,734402,485102,373655,648937,274198
2022,737111,492946,375296,654001,274874
2023,739820,500790,376937,659065,275550
2024,742529,508634,378578,664129,276226
2025,745236,516476,380219,669194,276903
2026,747014,524245,382531,673662,277516
2027,748792,532014,384843,678130,278129
2028,750570,539783,387155,682598,278742
2029,752348,547552,389467,687066,279355
2030,754124,555323,391781,691532,279970
2031,755552,571501,396052,702115,281718
2032,756980,587679,400323,712698,283466
2033,758408,603857,404594,723281,285214
2034,759836,620035,408865,733864,286962
2035,761263,636213,413136,744449,288712
2036,761263,636213,413136,744449,288712
2037,761263,636213,413136,744449,288712
2038,761263,636213,413136,744449,288712
2039,761263,636213,413136,744449,288712
2040,761263,636213,413136,744449,288712
2041,761549,642447,415923,748740,289348
2042,761835,648681,418710,753031,289984
2043,762121,654915,421497,757322,290620
2044,762407,661149,424284,761613,291256
2045,762694,667385,427073,765902,291892
2046,762800,672450,429138,770737,293761
2047,762906,677515,431203,775572,295630
2048,763012,682580,433268,780407,297499
2049,763118,687645,435333,785242,299368
2050,763226,692709,437397,790076,301236
